text,true_label,true_name,pred_label,pred_name,correct,max_confidence
"The library of Alexandria in ancient Egypt functioned as a major center of scholarship, collecting thousands of scrolls containing knowledge from diverse civilizations.",2,Grok,1,DeepSeek,False,0.9759897316005421
The ancient Silk Road was a network of trade routes connecting East Asia with the Mediterranean region for centuries.,2,Grok,1,DeepSeek,False,0.9754751716775804
"Yet the brain responds strongly to tiny signals of progress. that mindset removed the pressure of perfection and allowed the routine to survive longer than any previous attempt at self-discipline. one morning, almost by accident, i decided that my only goal for the day would be to walk outside for t",5,ChatGPT,0,Human,False,0.9687579105980131
"Telecommunication networks evolved from simple telegraph systems to 5G, progressively enabling faster, more reliable transmission of voice, data, and multimedia content.",1,DeepSeek,2,Grok,False,0.9608287424636949
The improved efficiency of steam engines helped accelerate urbanization as people moved to cities for factory employment opportunities.,2,Grok,1,DeepSeek,False,0.9467803897664137
"'Vinland Saga' stands out as a profound and mature exploration of pacifism and redemption, set against the backdrop of one of history's most violent eras. Following the long and arduous journey of Thorfinn, a young Viking who is initially consumed by a singular, burning desire for revenge against hi",4,Gemini,0,Human,False,0.9140518876034757
"Quantum physics reveals that particles can exist in multiple states simultaneously and interact across distances, challenging classical notions of reality and locality.",1,DeepSeek,2,Grok,False,0.8890814799861319
"Virtual reality immerses users in completely digital environments, while augmented reality overlays digital information onto the real world without replacing it.",1,DeepSeek,2,Grok,False,0.8851747840031635
"Savory Korean street food, like hotteok and tteokbokki, reflects the country's dynamic culinary history.",1,DeepSeek,2,Grok,False,0.8848212196224671
"The Maya's advanced astronomical knowledge was not merely academic but was integrated into the very fabric of their cities, as seen in structures like El Caracol at Chichen Itza, which functioned as an observatory. They tracked the synodic period of Venus with astonishing accuracy, associating the p",1,DeepSeek,2,Grok,False,0.8718848148953038
"The open-source software movement, with its philosophy of collaborative and transparent development, has fundamentally reshaped the technological landscape since its formal inception in the late 20th century. Rooted in the earlier hacker culture and the free software movement pioneered by Richard St",1,DeepSeek,4,Gemini,False,0.8709695424186764
"In Antarctica, scientific bases serve as remote laboratories where researchers study glaciology, climate change, and unique extremophile organisms in a pristine environment.",1,DeepSeek,2,Grok,False,0.8684890672737171
"Between the 8th and 11th centuries, the Vikings, or Norsemen, embarked on extensive maritime explorations that dramatically expanded their known world. Using advanced longships, which were exceptionally durable and could navigate both open seas and shallow rivers, they traveled far beyond their Scan",1,DeepSeek,2,Grok,False,0.8624235473119857
