text,true_label,true_name,pred_label,pred_name,correct,max_confidence
"Yet the brain responds strongly to tiny signals of progress. that mindset removed the pressure of perfection and allowed the routine to survive longer than any previous attempt at self-discipline. one morning, almost by accident, i decided that my only goal for the day would be to walk outside for t",5,ChatGPT,0,Human,False,0.9996884522191132
"In Antarctica, scientific bases serve as remote laboratories where researchers study glaciology, climate change, and unique extremophile organisms in a pristine environment.",1,DeepSeek,2,Grok,False,0.999337822404317
"Telecommunication networks evolved from simple telegraph systems to 5G, progressively enabling faster, more reliable transmission of voice, data, and multimedia content.",1,DeepSeek,2,Grok,False,0.9991788351525192
"Galileo's use of the telescope for astronomical observation provided concrete evidence, such as Jupiter's moons, that supported the heliocentric model proposed by Copernicus.",1,DeepSeek,2,Grok,False,0.9943314093779689
The Pomodoro Technique uses timed work intervals to enhance focus and prevent mental fatigue.,1,DeepSeek,2,Grok,False,0.9937208598071293
Cities often commission large-scale street art to revitalize run-down districts and attract tourism.,1,DeepSeek,2,Grok,False,0.9874024197911659
"Savory Korean street food, like hotteok and tteokbokki, reflects the country's dynamic culinary history.",1,DeepSeek,2,Grok,False,0.9863568248079004
"Researchers continue to explore graphene's potential in creating ultra-thin, flexible electronics that could revolutionize wearable devices and portable technology in the coming decades.",2,Grok,1,DeepSeek,False,0.9840033005898283
The ancient Silk Road was a network of trade routes connecting East Asia with the Mediterranean region for centuries.,2,Grok,1,DeepSeek,False,0.9807414432490863
The improved efficiency of steam engines helped accelerate urbanization as people moved to cities for factory employment opportunities.,2,Grok,1,DeepSeek,False,0.9802933602732198
"Virtual reality immerses users in completely digital environments, while augmented reality overlays digital information onto the real world without replacing it.",1,DeepSeek,2,Grok,False,0.9798625498298613
"The library of Alexandria in ancient Egypt functioned as a major center of scholarship, collecting thousands of scrolls containing knowledge from diverse civilizations.",2,Grok,1,DeepSeek,False,0.9704105905265802
"Ocean sailing demands a comprehensive understanding of maritime navigation, weather patterns, and self-sufficiency, as crews are isolated from immediate assistance for weeks.",1,DeepSeek,2,Grok,False,0.9692627368713204
Artificial intelligence algorithms now assist doctors by analyzing medical images to detect patterns that might indicate diseases such as cancer at early stages.,2,Grok,1,DeepSeek,False,0.9609022225856936
"The rise of women's professional sports has been one of the most significant and positive developments in the athletic world over the last few decades. Increased investment, media coverage, and cultural recognition have allowed female athletes to showcase their incredible talent and dedication on a ",4,Gemini,1,DeepSeek,False,0.9569113822154368
Penguins huddle together in large groups during Antarctic winters to conserve body heat and survive extreme cold temperatures for extended periods.,2,Grok,1,DeepSeek,False,0.9511848112633603
"Urban farming and vertical forests represent a transformative approach to integrating nature into the built environment of modern cities, addressing challenges like food security, air quality, and climate resilience. These initiatives range from rooftop community gardens and hydroponic warehouses to",1,DeepSeek,4,Gemini,False,0.9511400042363937
The bustling night markets of Taipei are famous for serving iconic Taiwanese snacks like stinky tofu.,1,DeepSeek,2,Grok,False,0.9493370436248497
"The importance of team chemistry in professional sports is often the deciding factor between a group of talented individuals and a championship-winning organization. While raw skill and physical dominance are essential, the ability of players to understand their roles, communicate effectively on the",4,Gemini,1,DeepSeek,False,0.9418932270276409
