text,true_label,true_name,pred_label,pred_name,correct,max_confidence
The ancient Silk Road was a network of trade routes connecting East Asia with the Mediterranean region for centuries.,2,Grok,1,DeepSeek,False,0.8858589162076008
"Yet the brain responds strongly to tiny signals of progress. that mindset removed the pressure of perfection and allowed the routine to survive longer than any previous attempt at self-discipline. one morning, almost by accident, i decided that my only goal for the day would be to walk outside for t",5,ChatGPT,0,Human,False,0.8532579484972408
"The library of Alexandria in ancient Egypt functioned as a major center of scholarship, collecting thousands of scrolls containing knowledge from diverse civilizations.",2,Grok,1,DeepSeek,False,0.7907419654584408
"Telecommunication networks evolved from simple telegraph systems to 5G, progressively enabling faster, more reliable transmission of voice, data, and multimedia content.",1,DeepSeek,2,Grok,False,0.7717935012121447
"Savory Korean street food, like hotteok and tteokbokki, reflects the country's dynamic culinary history.",1,DeepSeek,2,Grok,False,0.7683308301929567
The improved efficiency of steam engines helped accelerate urbanization as people moved to cities for factory employment opportunities.,2,Grok,1,DeepSeek,False,0.7256485300304722
Artificial intelligence algorithms now assist doctors by analyzing medical images to detect patterns that might indicate diseases such as cancer at early stages.,2,Grok,1,DeepSeek,False,0.709446325115315
"Virtual reality immerses users in completely digital environments, while augmented reality overlays digital information onto the real world without replacing it.",1,DeepSeek,2,Grok,False,0.704481248079588
"Galileo's use of the telescope for astronomical observation provided concrete evidence, such as Jupiter's moons, that supported the heliocentric model proposed by Copernicus.",1,DeepSeek,2,Grok,False,0.7008628159836668
"Quantum physics reveals that particles can exist in multiple states simultaneously and interact across distances, challenging classical notions of reality and locality.",1,DeepSeek,2,Grok,False,0.6349210139321931
"Researchers continue to explore graphene's potential in creating ultra-thin, flexible electronics that could revolutionize wearable devices and portable technology in the coming decades.",2,Grok,1,DeepSeek,False,0.6290775413870641
"In Antarctica, scientific bases serve as remote laboratories where researchers study glaciology, climate change, and unique extremophile organisms in a pristine environment.",1,DeepSeek,2,Grok,False,0.6289310469695459
The Pomodoro Technique uses timed work intervals to enhance focus and prevent mental fatigue.,1,DeepSeek,2,Grok,False,0.6133634148524081
Italian risotto requires constant stirring of Arborio rice cooked slowly in warm broth until it reaches a creamy consistency with tender grains.,2,Grok,1,DeepSeek,False,0.6128054641708172
Cities often commission large-scale street art to revitalize run-down districts and attract tourism.,1,DeepSeek,2,Grok,False,0.6026551867871576
"Three-dimensional printing, also known as additive manufacturing, builds objects layer by layer from digital models using various materials.",2,Grok,1,DeepSeek,False,0.5997309101014142
"The International Space Station has continuously hosted astronauts from multiple nations since 2000, serving as a laboratory for microgravity scientific experiments.",2,Grok,1,DeepSeek,False,0.5980759654729003
"Between the 8th and 11th centuries, the Vikings, or Norsemen, embarked on extensive maritime explorations that dramatically expanded their known world. Using advanced longships, which were exceptionally durable and could navigate both open seas and shallow rivers, they traveled far beyond their Scan",1,DeepSeek,2,Grok,False,0.5871376134177629
Augmented reality applications enhance real-world experiences by superimposing digital information onto physical environments through smartphone cameras or specialized glasses.,1,DeepSeek,2,Grok,False,0.5843416573972656
"Auroras appear when solar particles excite atmospheric gases, producing distinctive colors determined by the type of gas and altitude of collision. Geomagnetic activity linked to solar cycles influences the visibility and extent of auroral displays in polar regions.",2,Grok,1,DeepSeek,False,0.5841132720158456
"Galileo Galilei's scientific method revolutionized astronomy by combining empirical observations with mathematical analysis, challenging long-held geocentric views of the universe.",1,DeepSeek,2,Grok,False,0.5683378901543235
Origami artists use precise crease patterns to recreate intricate models of animals and geometric shapes.,1,DeepSeek,2,Grok,False,0.5661737889298568
"The Maya's advanced astronomical knowledge was not merely academic but was integrated into the very fabric of their cities, as seen in structures like El Caracol at Chichen Itza, which functioned as an observatory. They tracked the synodic period of Venus with astonishing accuracy, associating the p",1,DeepSeek,2,Grok,False,0.5658056282605979
"Ocean sailing demands a comprehensive understanding of maritime navigation, weather patterns, and self-sufficiency, as crews are isolated from immediate assistance for weeks.",1,DeepSeek,2,Grok,False,0.5642229539394458
Home gardeners often cultivate tomatoes during summer months because the plants thrive in warm temperatures and produce abundant fruit when properly supported and watered.,2,Grok,1,DeepSeek,False,0.55363748728213
"The migration of monarch butterflies spans thousands of kilometers each year as they travel between Canada, the United States, and central Mexico's overwintering sites.",2,Grok,1,DeepSeek,False,0.550567808133091
Sports psychology explores how techniques like visualization and goal-setting can enhance an athlete's motivation and overall performance during training and competition.,1,DeepSeek,2,Grok,False,0.5476476346950854
"The great and underrated Marion Davies shows her stuff in this late (1928) silent comedy that also shwocases the wonderful William Haines. Davies plays a hick fromm Georgia who crashes Hollywood with help from Haines. They appear in cheap comedies until Marion is ""discovered"" and becomes a big drama",0,Human,1,DeepSeek,False,0.5228290139795713
Penguins huddle together in large groups during Antarctic winters to conserve body heat and survive extreme cold temperatures for extended periods.,2,Grok,1,DeepSeek,False,0.5154141195129284
"The steam engine, perfected by James Watt in the late 18th century, became a cornerstone of the Industrial Revolution and transformed manufacturing processes globally.",2,Grok,1,DeepSeek,False,0.5082876429875969
"The open-source software movement, with its philosophy of collaborative and transparent development, has fundamentally reshaped the technological landscape since its formal inception in the late 20th century. Rooted in the earlier hacker culture and the free software movement pioneered by Richard St",1,DeepSeek,4,Gemini,False,0.5002488940886983
"Medium-sized stars like our Sun spend most of their lives fusing hydrogen into helium, maintaining equilibrium between gravitational collapse and outward pressure.",1,DeepSeek,2,Grok,False,0.49904635135634634
A key aspect of sports psychology involves helping athletes manage performance anxiety and maintain focus through mindfulness and structured pre-competition routines.,1,DeepSeek,2,Grok,False,0.4968215234036043
"The impact of the steam engine during the Industrial Revolution extended far beyond factories, as it revolutionized transportation. George Stephenson's Rocket, a pioneering steam locomotive, won the Rainhill Trials in 1829, demonstrating the viability of steam for rail transport and ushering in the ",1,DeepSeek,2,Grok,False,0.4891704024517209
"During sleep, the body increases protein synthesis, which is essential for rebuilding muscle fibers that are broken down during intense physical exercise and weight training.",1,DeepSeek,2,Grok,False,0.4881795745141757
"The restoration of antique furniture requires a thorough understanding of historical construction techniques, wood species, and original finishing methods used by craftsmen centuries ago. Professionals begin by assessing structural integrity, identifying previous repairs, and documenting all compone",2,Grok,1,DeepSeek,False,0.47619941946122557
"I did not like the idea of the female turtle at all since 1987 we knew to be brothers with their teacher Splinter and their enemies and each one of the brothers are named after the great name like Leonardo , Michelangleo, Raphel and Donatello so Venus here doesn'tt haev any meaning or playing any im",0,Human,2,Grok,False,0.47428517170972595
"Numismatics, the study of currency, offers collectors a tangible connection to historical economies and artistic periods.",1,DeepSeek,2,Grok,False,0.45715017373562566
"Color psychology plays a significant role in marketing by influencing consumer perceptions, emotions, and purchasing decisions through strategic use of hues in branding, packaging, advertisements, and store design. Different colors evoke specific psychological responses based on both universal assoc",2,Grok,5,ChatGPT,False,0.4535824218945129
"The Italian Renaissance, a period of immense cultural and artistic flourishing from the 14th to the 17th century, was also a time of significant invention and innovation. In Florence, centers of art and engineering like workshops and foundries became hubs for creating new machines and refining exist",1,DeepSeek,2,Grok,False,0.44911428563715133
"The trade networks of the Silk Road were not continuous journeys but a series of segments, with goods often passing through many hands via middlemen in oasis cities like Samarkand and Bukhara. This system led to a blending of cultures, as Sogdian merchants, for example, became prominent traders and ",1,DeepSeek,2,Grok,False,0.43664100137834844
"Such as solving equations or following instructions. in contrast, relaxed states of mind allow different regions of the brain to communicate more freely, producing connections that would not normally appear during concentrated effort. some composers reported hearing melodies emerge while they were w",5,ChatGPT,0,Human,False,0.4064658946968353
"Urban farming and vertical forests represent a transformative approach to integrating nature into the built environment of modern cities, addressing challenges like food security, air quality, and climate resilience. These initiatives range from rooftop community gardens and hydroponic warehouses to",1,DeepSeek,5,ChatGPT,False,0.3800007097440539
"Stars follow a well-defined life cycle that begins in vast clouds of gas and dust called nebulae, where gravity gradually pulls material together to form dense cores. When sufficient mass accumulates, the core becomes hot and dense enough to initiate nuclear fusion, converting hydrogen into helium a",2,Grok,1,DeepSeek,False,0.3786186780963378
"Throughout history, the act of writing by hand has played a crucial role in how individuals process information and develop ideas. Writing by hand can feel personal in a way that digital text sometimes lacks, perhaps since each mark reflects a unique movement made at a specific moment. This transfor",5,ChatGPT,0,Human,False,0.3160668929947858
"Technology has fundamentally transformed the healthcare industry, revolutionizing how medical professionals diagnose diseases, treat patients, and manage chronic conditions. Over the past few decades, innovations in medical technology have saved millions of lives and continue to improve patient outc",3,Claude,5,ChatGPT,False,0.3116582890068857
"Long before modern satellites and digital maps existed, sailors navigated vast oceans using little more than careful observation and accumulated experience. Over time they developed an intuitive understanding of how the sky slowly shifted as the Earth rotated and moved along its orbit. This redundan",5,ChatGPT,0,Human,False,0.2840148089688818
"Quantum physics describes the behavior of matter and energy at the smallest scales, where classical physics no longer applies and phenomena exhibit wave-particle duality, quantization, and probabilistic outcomes. At its foundation lies the concept that particles such as electrons and photons can beh",2,Grok,1,DeepSeek,False,0.2741057664266086
