class_id,class_name,rank,feature,coefficient
0,Human,1,stylometric__sent_cv,1.65352
0,Human,2,function_word_tfidf__i,1.15292
0,Human,3,stylometric__sent_range,1.11892
0,Human,4,function_word_tfidf__you,0.77704
0,Human,5,stylometric__qt,0.77051
0,Human,6,function_word_tfidf__it,0.71659
0,Human,7,function_word_tfidf__if,0.56883
0,Human,8,stylometric__isr,0.54864
0,Human,9,function_word_tfidf__so,0.54259
0,Human,10,function_word_tfidf__will,0.53939
0,Human,11,function_word_tfidf__but,0.535
0,Human,12,function_word_tfidf__because,0.51671
0,Human,13,function_word_tfidf__his,0.50929
0,Human,14,function_word_tfidf__would,0.49735
0,Human,15,function_word_tfidf__was,0.49364
0,Human,16,function_word_tfidf__be,0.485
0,Human,17,function_word_tfidf__all,0.48423
0,Human,18,stylometric__dr,0.48418
0,Human,19,function_word_tfidf__is,0.45742
0,Human,20,function_word_tfidf__have,0.45449
0,Human,21,stylometric__proper_noun_density,0.42826
0,Human,22,stylometric__vss,0.42493
0,Human,23,function_word_tfidf__very,0.41973
0,Human,24,stylometric__pa,0.41968
0,Human,25,function_word_tfidf__do,0.41482
0,Human,26,stylometric__nw,0.41332
0,Human,27,stylometric__nw_per_p,0.41332
0,Human,28,function_word_tfidf__not,0.3869
0,Human,29,function_word_tfidf__my,0.38151
0,Human,30,function_word_tfidf__much,0.37846
0,Human,31,function_word_tfidf__no,0.37422
0,Human,32,function_word_tfidf__he,0.37074
0,Human,33,stylometric__ucr,0.35878
0,Human,34,function_word_tfidf__who,0.35873
0,Human,35,function_word_tfidf__her,0.3556
0,Human,36,stylometric__question_per_sent,0.35418
0,Human,37,function_word_tfidf__some,0.35329
0,Human,38,function_word_tfidf__this,0.34967
0,Human,39,function_word_tfidf__should,0.34898
0,Human,40,function_word_tfidf__had,0.33899
0,Human,41,function_word_tfidf__what,0.32876
0,Human,42,function_word_tfidf__she,0.3187
0,Human,43,function_word_tfidf__we,0.31562
0,Human,44,function_word_tfidf__me,0.3142
0,Human,45,function_word_tfidf__they,0.30767
0,Human,46,stylometric__ex,0.29984
0,Human,47,function_word_tfidf__your,0.29794
0,Human,48,stylometric__ns,0.29557
0,Human,49,word_tfidf__br,0.29088
0,Human,50,function_word_tfidf__why,0.28563
1,DeepSeek,1,stylometric__punct_variety,2.60206
1,DeepSeek,2,function_word_tfidf__a,1.39463
1,DeepSeek,3,function_word_tfidf__were,1.04143
1,DeepSeek,4,function_word_tfidf__which,1.0155
1,DeepSeek,5,function_word_tfidf__was,0.79183
1,DeepSeek,6,function_word_tfidf__its,0.7094
1,DeepSeek,7,function_word_tfidf__their,0.63079
1,DeepSeek,8,function_word_tfidf__into,0.58507
1,DeepSeek,9,function_word_tfidf__by,0.54814
1,DeepSeek,10,function_word_tfidf__are,0.54783
1,DeepSeek,11,stylometric__hedge_rate,0.53125
1,DeepSeek,12,function_word_tfidf__this,0.50597
1,DeepSeek,13,word_tfidf__like,0.48887
1,DeepSeek,14,function_word_tfidf__from,0.46396
1,DeepSeek,15,function_word_tfidf__several,0.45657
1,DeepSeek,16,function_word_tfidf__also,0.43935
1,DeepSeek,17,function_word_tfidf__upon,0.43396
1,DeepSeek,18,function_word_tfidf__they,0.40499
1,DeepSeek,19,function_word_tfidf__but,0.40308
1,DeepSeek,20,stylometric__ttr,0.38232
1,DeepSeek,21,function_word_tfidf__or,0.36632
1,DeepSeek,22,word_tfidf__immense,0.35277
1,DeepSeek,23,function_word_tfidf__more,0.33827
1,DeepSeek,24,function_word_tfidf__can,0.30307
1,DeepSeek,25,word_tfidf__bases,0.29398
1,DeepSeek,26,word_tfidf__more reliable,0.28195
1,DeepSeek,27,word_tfidf__greek,0.28166
1,DeepSeek,28,function_word_tfidf__them,0.27088
1,DeepSeek,29,word_tfidf__organisms,0.26905
1,DeepSeek,30,function_word_tfidf__an,0.26471
1,DeepSeek,31,word_tfidf__street,0.26255
1,DeepSeek,32,word_tfidf__a,0.2565
1,DeepSeek,33,word_tfidf__primarily,0.2526
1,DeepSeek,34,word_tfidf__often,0.2512
1,DeepSeek,35,word_tfidf__fabric,0.24984
1,DeepSeek,36,word_tfidf__evolved,0.24554
1,DeepSeek,37,word_tfidf__led,0.24542
1,DeepSeek,38,function_word_tfidf__consequently,0.24418
1,DeepSeek,39,function_word_tfidf__though,0.24237
1,DeepSeek,40,word_tfidf__planet s,0.2415
1,DeepSeek,41,stylometric__da,0.24028
1,DeepSeek,42,word_tfidf__systems to,0.23809
1,DeepSeek,43,word_tfidf__masks,0.23723
1,DeepSeek,44,function_word_tfidf__it,0.23471
1,DeepSeek,45,word_tfidf__geometric,0.23061
1,DeepSeek,46,stylometric__first_sent_words,0.22754
1,DeepSeek,47,word_tfidf__reality,0.22613
1,DeepSeek,48,word_tfidf__art,0.22217
1,DeepSeek,49,word_tfidf__exist in,0.22122
1,DeepSeek,50,function_word_tfidf__very,0.22021
2,Grok,1,stylometric__ttr,2.18328
2,Grok,2,stylometric__vls,1.57254
2,Grok,3,stylometric__dr,1.02644
2,Grok,4,function_word_tfidf__and,0.81856
2,Grok,5,function_word_tfidf__while,0.75536
2,Grok,6,stylometric__lwr,0.70049
2,Grok,7,stylometric__awl,0.63202
2,Grok,8,function_word_tfidf__until,0.60006
2,Grok,9,function_word_tfidf__after,0.58103
2,Grok,10,stylometric__first_sent_words,0.5787
2,Grok,11,stylometric__proper_noun_density,0.56599
2,Grok,12,function_word_tfidf__through,0.56146
2,Grok,13,function_word_tfidf__over,0.5324
2,Grok,14,function_word_tfidf__in,0.53217
2,Grok,15,stylometric__punct_variety,0.52368
2,Grok,16,stylometric__nw_per_s,0.42039
2,Grok,17,function_word_tfidf__during,0.41065
2,Grok,18,function_word_tfidf__at,0.40455
2,Grok,19,stylometric__cm,0.39544
2,Grok,20,function_word_tfidf__rather,0.38883
2,Grok,21,function_word_tfidf__various,0.38293
2,Grok,22,function_word_tfidf__when,0.35147
2,Grok,23,function_word_tfidf__many,0.32499
2,Grok,24,function_word_tfidf__each,0.32324
2,Grok,25,function_word_tfidf__among,0.30867
2,Grok,26,function_word_tfidf__these,0.29964
2,Grok,27,function_word_tfidf__without,0.28477
2,Grok,28,word_tfidf__mediterranean,0.2842
2,Grok,29,function_word_tfidf__above,0.26285
2,Grok,30,function_word_tfidf__since,0.26053
2,Grok,31,function_word_tfidf__as,0.2495
2,Grok,32,word_tfidf__century,0.23184
2,Grok,33,word_tfidf__in warm,0.23027
2,Grok,34,word_tfidf__ancient,0.22476
2,Grok,35,word_tfidf__routes connecting,0.22124
2,Grok,36,word_tfidf__techniques,0.2209
2,Grok,37,word_tfidf__the ancient,0.22023
2,Grok,38,word_tfidf__routes,0.21618
2,Grok,39,word_tfidf__the mediterranean,0.21493
2,Grok,40,function_word_tfidf__on,0.21043
2,Grok,41,word_tfidf__steam,0.20793
2,Grok,42,word_tfidf__trade routes,0.19199
2,Grok,43,word_tfidf__grains,0.1919
2,Grok,44,word_tfidf__such as,0.18469
2,Grok,45,word_tfidf__rice,0.1819
2,Grok,46,function_word_tfidf__below,0.17699
2,Grok,47,word_tfidf__carefully,0.17529
2,Grok,48,word_tfidf__improved,0.17355
2,Grok,49,word_tfidf__the late,0.17179
2,Grok,50,word_tfidf__asia,0.17023
3,Claude,1,function_word_tfidf__however,2.09316
3,Claude,2,stylometric__lwr,1.54389
