text,true_label,true_name,pred_label,pred_name,correct,max_confidence
The ancient Silk Road was a network of trade routes connecting East Asia with the Mediterranean region for centuries.,2,Grok,1,DeepSeek,False,0.9634012526550411
"The library of Alexandria in ancient Egypt functioned as a major center of scholarship, collecting thousands of scrolls containing knowledge from diverse civilizations.",2,Grok,1,DeepSeek,False,0.9577463335351059
The improved efficiency of steam engines helped accelerate urbanization as people moved to cities for factory employment opportunities.,2,Grok,1,DeepSeek,False,0.9502673674573279
"Yet the brain responds strongly to tiny signals of progress. that mindset removed the pressure of perfection and allowed the routine to survive longer than any previous attempt at self-discipline. one morning, almost by accident, i decided that my only goal for the day would be to walk outside for t",5,ChatGPT,0,Human,False,0.9483162953532256
Artificial intelligence algorithms now assist doctors by analyzing medical images to detect patterns that might indicate diseases such as cancer at early stages.,2,Grok,1,DeepSeek,False,0.929911035843935
"Telecommunication networks evolved from simple telegraph systems to 5G, progressively enabling faster, more reliable transmission of voice, data, and multimedia content.",1,DeepSeek,2,Grok,False,0.872149101855901
"Researchers continue to explore graphene's potential in creating ultra-thin, flexible electronics that could revolutionize wearable devices and portable technology in the coming decades.",2,Grok,1,DeepSeek,False,0.8501614190253147
"Virtual reality immerses users in completely digital environments, while augmented reality overlays digital information onto the real world without replacing it.",1,DeepSeek,2,Grok,False,0.8433750733628541
Italian risotto requires constant stirring of Arborio rice cooked slowly in warm broth until it reaches a creamy consistency with tender grains.,2,Grok,1,DeepSeek,False,0.8224925244342747
The Pomodoro Technique uses timed work intervals to enhance focus and prevent mental fatigue.,1,DeepSeek,2,Grok,False,0.8032128139359633
"In Antarctica, scientific bases serve as remote laboratories where researchers study glaciology, climate change, and unique extremophile organisms in a pristine environment.",1,DeepSeek,2,Grok,False,0.7963802141306082
"Savory Korean street food, like hotteok and tteokbokki, reflects the country's dynamic culinary history.",1,DeepSeek,2,Grok,False,0.7900646438804655
Cities often commission large-scale street art to revitalize run-down districts and attract tourism.,1,DeepSeek,2,Grok,False,0.7880794669151229
Penguins huddle together in large groups during Antarctic winters to conserve body heat and survive extreme cold temperatures for extended periods.,2,Grok,1,DeepSeek,False,0.7567850345486867
"The impact of the steam engine during the Industrial Revolution extended far beyond factories, as it revolutionized transportation. George Stephenson's Rocket, a pioneering steam locomotive, won the Rainhill Trials in 1829, demonstrating the viability of steam for rail transport and ushering in the ",1,DeepSeek,2,Grok,False,0.750403654287655
"Galileo's use of the telescope for astronomical observation provided concrete evidence, such as Jupiter's moons, that supported the heliocentric model proposed by Copernicus.",1,DeepSeek,2,Grok,False,0.7450225835611393
"Telecommunications began with the electric telegraph in the nineteenth century, allowing messages to be sent over long distances using coded electrical signals.",2,Grok,1,DeepSeek,False,0.727172887913522
"The Italian Renaissance, a period of immense cultural and artistic flourishing from the 14th to the 17th century, was also a time of significant invention and innovation. In Florence, centers of art and engineering like workshops and foundries became hubs for creating new machines and refining exist",1,DeepSeek,2,Grok,False,0.7109907548256704
"Between the 8th and 11th centuries, the Vikings, or Norsemen, embarked on extensive maritime explorations that dramatically expanded their known world. Using advanced longships, which were exceptionally durable and could navigate both open seas and shallow rivers, they traveled far beyond their Scan",1,DeepSeek,2,Grok,False,0.7084533446560016
"The restoration of antique furniture requires a thorough understanding of historical construction techniques, wood species, and original finishing methods used by craftsmen centuries ago. Professionals begin by assessing structural integrity, identifying previous repairs, and documenting all compone",2,Grok,1,DeepSeek,False,0.7065683993450693
"The Maya's advanced astronomical knowledge was not merely academic but was integrated into the very fabric of their cities, as seen in structures like El Caracol at Chichen Itza, which functioned as an observatory. They tracked the synodic period of Venus with astonishing accuracy, associating the p",1,DeepSeek,2,Grok,False,0.7041370648307079
"Ocean sailing demands a comprehensive understanding of maritime navigation, weather patterns, and self-sufficiency, as crews are isolated from immediate assistance for weeks.",1,DeepSeek,2,Grok,False,0.6653027625960336
"Urban farming and vertical forests represent a transformative approach to integrating nature into the built environment of modern cities, addressing challenges like food security, air quality, and climate resilience. These initiatives range from rooftop community gardens and hydroponic warehouses to",1,DeepSeek,4,Gemini,False,0.6651791835822078
"In Jane Austen's Pride and Prejudice, Elizabeth Bennet gradually overcomes her initial prejudice toward Mr. Darcy through a series of misunderstandings and personal revelations.",2,Grok,1,DeepSeek,False,0.6631854547126252
Origami artists use precise crease patterns to recreate intricate models of animals and geometric shapes.,1,DeepSeek,2,Grok,False,0.6200866940634234
