text,true_label,true_name,pred_label,pred_name,correct,max_confidence
The ancient Silk Road was a network of trade routes connecting East Asia with the Mediterranean region for centuries.,2,Grok,1,DeepSeek,False,0.9333001797283436
"Yet the brain responds strongly to tiny signals of progress. that mindset removed the pressure of perfection and allowed the routine to survive longer than any previous attempt at self-discipline. one morning, almost by accident, i decided that my only goal for the day would be to walk outside for t",5,ChatGPT,0,Human,False,0.926473200358177
"Telecommunication networks evolved from simple telegraph systems to 5G, progressively enabling faster, more reliable transmission of voice, data, and multimedia content.",1,DeepSeek,2,Grok,False,0.885486168182332
"The library of Alexandria in ancient Egypt functioned as a major center of scholarship, collecting thousands of scrolls containing knowledge from diverse civilizations.",2,Grok,1,DeepSeek,False,0.8805762779925105
"Savory Korean street food, like hotteok and tteokbokki, reflects the country's dynamic culinary history.",1,DeepSeek,2,Grok,False,0.8773438275004286
The improved efficiency of steam engines helped accelerate urbanization as people moved to cities for factory employment opportunities.,2,Grok,1,DeepSeek,False,0.852970945151846
"Galileo's use of the telescope for astronomical observation provided concrete evidence, such as Jupiter's moons, that supported the heliocentric model proposed by Copernicus.",1,DeepSeek,2,Grok,False,0.8475971126808179
"Virtual reality immerses users in completely digital environments, while augmented reality overlays digital information onto the real world without replacing it.",1,DeepSeek,2,Grok,False,0.8421718989547247
Artificial intelligence algorithms now assist doctors by analyzing medical images to detect patterns that might indicate diseases such as cancer at early stages.,2,Grok,1,DeepSeek,False,0.8351742738505044
"In Antarctica, scientific bases serve as remote laboratories where researchers study glaciology, climate change, and unique extremophile organisms in a pristine environment.",1,DeepSeek,2,Grok,False,0.8141344346869315
"Researchers continue to explore graphene's potential in creating ultra-thin, flexible electronics that could revolutionize wearable devices and portable technology in the coming decades.",2,Grok,1,DeepSeek,False,0.8065404209884461
The Pomodoro Technique uses timed work intervals to enhance focus and prevent mental fatigue.,1,DeepSeek,2,Grok,False,0.8035421373297686
Cities often commission large-scale street art to revitalize run-down districts and attract tourism.,1,DeepSeek,2,Grok,False,0.7950288032891617
"Ocean sailing demands a comprehensive understanding of maritime navigation, weather patterns, and self-sufficiency, as crews are isolated from immediate assistance for weeks.",1,DeepSeek,2,Grok,False,0.7667428454053831
Italian risotto requires constant stirring of Arborio rice cooked slowly in warm broth until it reaches a creamy consistency with tender grains.,2,Grok,1,DeepSeek,False,0.7606977778639956
"Between the 8th and 11th centuries, the Vikings, or Norsemen, embarked on extensive maritime explorations that dramatically expanded their known world. Using advanced longships, which were exceptionally durable and could navigate both open seas and shallow rivers, they traveled far beyond their Scan",1,DeepSeek,2,Grok,False,0.7551218823899857
"The Maya's advanced astronomical knowledge was not merely academic but was integrated into the very fabric of their cities, as seen in structures like El Caracol at Chichen Itza, which functioned as an observatory. They tracked the synodic period of Venus with astonishing accuracy, associating the p",1,DeepSeek,2,Grok,False,0.7483582827876359
Penguins huddle together in large groups during Antarctic winters to conserve body heat and survive extreme cold temperatures for extended periods.,2,Grok,1,DeepSeek,False,0.7332994653881444
"In Jane Austen's Pride and Prejudice, Elizabeth Bennet gradually overcomes her initial prejudice toward Mr. Darcy through a series of misunderstandings and personal revelations.",2,Grok,1,DeepSeek,False,0.70269433879279
"The impact of the steam engine during the Industrial Revolution extended far beyond factories, as it revolutionized transportation. George Stephenson's Rocket, a pioneering steam locomotive, won the Rainhill Trials in 1829, demonstrating the viability of steam for rail transport and ushering in the ",1,DeepSeek,2,Grok,False,0.6850480757315435
"Masks in Greek theater, such as those for tragedy or comedy, helped audiences identify stock characters from afar.",1,DeepSeek,2,Grok,False,0.6789563257745158
"The Italian Renaissance, a period of immense cultural and artistic flourishing from the 14th to the 17th century, was also a time of significant invention and innovation. In Florence, centers of art and engineering like workshops and foundries became hubs for creating new machines and refining exist",1,DeepSeek,2,Grok,False,0.6763060119471546
"During sleep, the body increases protein synthesis, which is essential for rebuilding muscle fibers that are broken down during intense physical exercise and weight training.",1,DeepSeek,2,Grok,False,0.6709167997835273
"'Vinland Saga' stands out as a profound and mature exploration of pacifism and redemption, set against the backdrop of one of history's most violent eras. Following the long and arduous journey of Thorfinn, a young Viking who is initially consumed by a singular, burning desire for revenge against hi",4,Gemini,0,Human,False,0.6356877052704037
Coral reefs around the world support an incredible diversity of marine species while acting as natural barriers that protect coastlines from erosion and storms.,2,Grok,1,DeepSeek,False,0.632702383649848
"The great and underrated Marion Davies shows her stuff in this late (1928) silent comedy that also shwocases the wonderful William Haines. Davies plays a hick fromm Georgia who crashes Hollywood with help from Haines. They appear in cheap comedies until Marion is ""discovered"" and becomes a big drama",0,Human,1,DeepSeek,False,0.6215382966170819
"Urban farming and vertical forests represent a transformative approach to integrating nature into the built environment of modern cities, addressing challenges like food security, air quality, and climate resilience. These initiatives range from rooftop community gardens and hydroponic warehouses to",1,DeepSeek,4,Gemini,False,0.612633235850105
"Color psychology plays a significant role in marketing by influencing consumer perceptions, emotions, and purchasing decisions through strategic use of hues in branding, packaging, advertisements, and store design. Different colors evoke specific psychological responses based on both universal assoc",2,Grok,5,ChatGPT,False,0.6059305365881649
"Telecommunications began with the electric telegraph in the nineteenth century, allowing messages to be sent over long distances using coded electrical signals.",2,Grok,1,DeepSeek,False,0.6023149041617394
"The importance of team chemistry in professional sports is often the deciding factor between a group of talented individuals and a championship-winning organization. While raw skill and physical dominance are essential, the ability of players to understand their roles, communicate effectively on the",4,Gemini,1,DeepSeek,False,0.5902690612304768
"The open-source software movement, with its philosophy of collaborative and transparent development, has fundamentally reshaped the technological landscape since its formal inception in the late 20th century. Rooted in the earlier hacker culture and the free software movement pioneered by Richard St",1,DeepSeek,2,Grok,False,0.5763238458926545
The bustling night markets of Taipei are famous for serving iconic Taiwanese snacks like stinky tofu.,1,DeepSeek,2,Grok,False,0.5758778995504636
Origami artists use precise crease patterns to recreate intricate models of animals and geometric shapes.,1,DeepSeek,2,Grok,False,0.575238262342294
"Computer cryptography secures data by transforming it into unreadable formats using algorithms, accessible only to those possessing the correct decryption keys.",1,DeepSeek,2,Grok,False,0.5752141566058803
"A star's life cycle begins in a nebula and progresses through stages determined by its mass, ending as a white dwarf, neutron star, or black hole.",1,DeepSeek,2,Grok,False,0.5714624385791975
"The rise of women's professional sports has been one of the most significant and positive developments in the athletic world over the last few decades. Increased investment, media coverage, and cultural recognition have allowed female athletes to showcase their incredible talent and dedication on a ",4,Gemini,1,DeepSeek,False,0.5435628179035815
"Desert ecosystems are defined by extreme aridity, receiving very little annual rainfall, which presents a formidable challenge for plant life. To survive, desert plants, known as xerophytes, have evolved remarkable adaptations to conserve water and withstand intense heat. Succulent plants like cacti",1,DeepSeek,2,Grok,False,0.5369170581988707
"Such as solving equations or following instructions. in contrast, relaxed states of mind allow different regions of the brain to communicate more freely, producing connections that would not normally appear during concentrated effort. some composers reported hearing melodies emerge while they were w",5,ChatGPT,0,Human,False,0.5129123162168869
"Hunter x Hunter is a transformative work in the battle shonen genre, famous for its intricate 'Nen' power system and its willingness to deconstruct traditional heroic tropes. Following the journey of Gon Freecss as he strives to become a Hunter and find his long-lost father, the series initially pre",4,Gemini,1,DeepSeek,False,0.4885374886779489
"Throughout history, the act of writing by hand has played a crucial role in how individuals process information and develop ideas. Writing by hand can feel personal in a way that digital text sometimes lacks, perhaps since each mark reflects a unique movement made at a specific moment. This transfor",5,ChatGPT,0,Human,False,0.46840496042165003
"The evolution of modern professional basketball has been defined by a significant shift toward a faster, perimeter-oriented game that prioritizes three-point shooting and floor spacing. In the NBA, this 'pace and space' era has revolutionized how teams approach offense, with players at every positio",4,Gemini,1,DeepSeek,False,0.46277826749455186
"The restoration of antique furniture requires a thorough understanding of historical construction techniques, wood species, and original finishing methods used by craftsmen centuries ago. Professionals begin by assessing structural integrity, identifying previous repairs, and documenting all compone",2,Grok,1,DeepSeek,False,0.4451575209901991
"Long before modern satellites and digital maps existed, sailors navigated vast oceans using little more than careful observation and accumulated experience. Over time they developed an intuitive understanding of how the sky slowly shifted as the Earth rotated and moved along its orbit. This redundan",5,ChatGPT,0,Human,False,0.4439727554481988
"The Internet of Things refers to the network of physical devices embedded with sensors, software, and connectivity that enables them to collect, exchange, and act on data. In smart homes, IoT integrates appliances such as thermostats, lighting, security cameras, door locks, and voice assistants into",2,Grok,5,ChatGPT,False,0.42737145958185985
"Plate tectonics is the unifying geological theory that explains the large-scale motion of Earth's lithosphere, which is broken into several rigid plates that glide over the semi-molten asthenosphere. This perpetual motion is driven by convection currents in the Earth's mantle, fueled by heat from th",1,DeepSeek,4,Gemini,False,0.3952911859211862
"Stars follow a well-defined life cycle that begins in vast clouds of gas and dust called nebulae, where gravity gradually pulls material together to form dense cores. When sufficient mass accumulates, the core becomes hot and dense enough to initiate nuclear fusion, converting hydrogen into helium a",2,Grok,4,Gemini,False,0.37112854802244866
"Coral reefs provide invaluable ecosystem services, including protecting coastlines from storm surge and erosion, and supporting a quarter of all marine species despite covering less than one percent of the ocean floor. The bleaching phenomenon, exacerbated by climate change-driven marine heatwaves, ",1,DeepSeek,2,Grok,False,0.36759271632158563
"'Attack on Titan' (Shingeki no Kyojin) is widely considered a modern masterpiece of dark fantasy, transcending the typical boundaries of the anime medium. At its core, the series explores the cyclical nature of hatred, the heavy cost of freedom, and the brutal reality of human conflict. Hajime Isaya",4,Gemini,1,DeepSeek,False,0.3055117446009086
